Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure: 1) each row contains an item name; 2) an item and its variations have the same category and description; 3) GTINs are 8,12, 13, or 14 characters and contain numbers only; and 4) every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
RF7R4FXL6NLPQKCPXVYHPSBN,#1 Section for 50HMw/ clamp,#1 Section for 50HMw/clamp,Regular,,T-50-HM-1-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,208.08,,Y,,,,N,,,145.66,Tucker,T-50-HM-1-WC,N,0,,N,0,,Y,0,,N,0,208.08
34C2H63J3ASVY4UZRJLANV2L,#1 Section for BRAVOw/ clamp,#1 Section for BRAVOw/clamp,Regular,,T-22-HY-1-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,81.37,,Y,,,,N,,,56.96,Tucker,T-22-HY-1-WC,N,0,,N,0,,Y,0,,N,0,81.37
7TYUWZHS4XU23XTZBZOQEYOV,#1 Section for ECO 30w/ Clamp,#1 Section for Tucker®-30,Regular,,T-30-CF-1-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,121.22,,Y,,,,N,,,84.86,Tucker,T-30-CF-1-WC,N,0,,N,0,,Y,0,,N,0,121.22
KPRQMGT6DVMPUTQ6RITVHX4O,#1 Section for ECO 40w/ Clamp,#1 Section for Tucker-40,Regular,,T-40-CF-1-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,121.22,,Y,,,,N,,,84.86,Tucker,T-40-CF-1-WC,N,0,,N,0,,Y,0,,N,0,121.22
V577LHDOKPQSBZ2X4JFD6R4Y,#1 Section for Juniorw/ clamp,#1 Section for Juniorw/clamp,Regular,,T-15-HY-1-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,,,,,,,,75.37,,Y,,,,N,,,52.76,Tucker,T-15-HY-1-WC,N,0,,N,0,,Y,0,,N,0,75.37
VKCZ7MMIPLQJPYWRN5EMAL5G,#1 Section for SIDEKICKw/ Clamp,#1 Section for SIDEKICKw/Clamp,Regular,,T-12-FG-1-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,,,,,,,,59.37,,Y,,,,N,,,41.56,Tucker,T-12-FG-1-WC,N,0,,N,0,,Y,0,,N,0,59.37
IG7K3VZ7SPOFOJ6IXUUI33IY,#1 Section for SOLAR BOOSTw/ Clamp,#1 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-1-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,105.37,,Y,,,,N,,,73.76,Tucker,T-27-CF-1-WC,N,0,,N,0,,Y,0,,N,0,105.37
RQIJQYRGCIYUIBB4MS5TL6NF,#10 CF Pole Extension with Clamp,Tucker® 50 extension,Regular,,T-CF-EXT-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,10,,,,,,,252.72,,Y,,,,N,,,176.91,Tucker,T-CF-EXT-WC,N,0,,N,0,,Y,0,,N,0,252.72
4PHORFF6ABYNVHDK6OKJKGBJ,#2 Section for 50HMw/ clamp,#2 Section for 50HMw/clamp,Regular,,T-50-HM-2-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,219.32,,Y,,,,N,,,153.53,Tucker,T-50-HM-2-WC,N,0,,N,0,,Y,0,,N,0,219.32
